x, y, t, p, sqrt(u^2+v^2), u, v
0, 0, 8, 5.63812, 0, 0, 0
2.2, 0, 8, 0, 0, 0, 0
0, 0.41, 8, 5.74375, 0, 0, 0
2.2, 0.41, 8, 0, 0, 0, 0
0.2, 0.15, 8, 3.68154, 0, 0, 0
0.25, 0.2, 8, 4.39717, 0, 0, 0
0.2, 0.25, 8, 3.95262, 0, 0, 0
0.15, 0.2, 8, 7.2551, 0, 0, 0
0.022, 0, 8, 5.63634, 0, 0, 0
0.0418, 0, 8, 5.63284, 0, 0, 0
0.0616, 0, 8, 5.62049, 0, 0, 0
0.0814, 0, 8, 5.6051, 0, 0, 0
0.1012, 0, 8, 5.57294, 0, 0, 0
0.121, 0, 8, 5.53736, 0, 0, 0
0.1408, 0, 8, 5.48148, 0, 0, 0
0.1606, 0, 8, 5.404, 0, 0, 0
0.1804, 0, 8, 5.33109, 0, 0, 0
0.2002, 0, 8, 5.22512, 0, 0, 0
0.2222, 0, 8, 5.12353, 0, 0, 0
0.242, 0, 8, 5.01257, 0, 0, 0
0.2618, 0, 8, 4.92045, 0, 0, 0
0.2816, 0, 8, 4.83054, 0, 0, 0
0.3014, 0, 8, 4.74983, 0, 0, 0
0.3212, 0, 8, 4.68218, 0, 0, 0
0.341, 0, 8, 4.62203, 0, 0, 0
0.3608, 0, 8, 4.57093, 0, 0, 0
0.3806, 0, 8, 4.52772, 0, 0, 0
0.4004, 0, 8, 4.49243, 0, 0, 0
0.4202, 0, 8, 4.46518, 0, 0, 0
0.4422, 0, 8, 4.44488, 0, 0, 0
0.462, 0, 8, 4.43588, 0, 0, 0
0.4818, 0, 8, 4.43408, 0, 0, 0
0.5016, 0, 8, 4.44032, 0, 0, 0
0.5214, 0, 8, 4.45206, 0, 0, 0
0.5412, 0, 8, 4.45976, 0, 0, 0
0.561, 0, 8, 4.45395, 0, 0, 0
0.5808, 0, 8, 4.43251, 0, 0, 0
0.6006, 0, 8, 4.39682, 0, 0, 0
0.6204, 0, 8, 4.34593, 0, 0, 0
0.6402, 0, 8, 4.27781, 0, 0, 0
0.6622, 0, 8, 4.18192, 0, 0, 0
0.682, 0, 8, 4.08013, 0, 0, 0
0.7018, 0, 8, 3.97199, 0, 0, 0
0.7216, 0, 8, 3.86674, 0, 0, 0
0.7414, 0, 8, 3.77239, 0, 0, 0
0.7612, 0, 8, 3.69118, 0, 0, 0
0.781, 0, 8, 3.61855, 0, 0, 0
0.8008, 0, 8, 3.54726, 0, 0, 0
0.8206, 0, 8, 3.47262, 0, 0, 0
0.8404, 0, 8, 3.39475, 0, 0, 0
0.8602, 0, 8, 3.31725, 0, 0, 0
0.8822, 0, 8, 3.23827, 0, 0, 0
0.902, 0, 8, 3.17934, 0, 0, 0
0.9218, 0, 8, 3.13427, 0, 0, 0
0.9416, 0, 8, 3.1026, 0, 0, 0
0.9614, 0, 8, 3.08001, 0, 0, 0
0.9812, 0, 8, 3.06005, 0, 0, 0
1.001, 0, 8, 3.03633, 0, 0, 0
1.0208, 0, 8, 3.00418, 0, 0, 0
1.0406, 0, 8, 2.96157, 0, 0, 0
1.0604, 0, 8, 2.90879, 0, 0, 0
1.0802, 0, 8, 2.84756, 0, 0, 0
1.1022, 0, 8, 2.77246, 0, 0, 0
1.122, 0, 8, 2.69922, 0, 0, 0
1.1418, 0, 8, 2.62217, 0, 0, 0
1.1616, 0, 8, 2.54093, 0, 0, 0
1.1814, 0, 8, 2.45516, 0, 0, 0
1.2012, 0, 8, 2.3648, 0, 0, 0
1.221, 0, 8, 2.27071, 0, 0, 0
1.2408, 0, 8, 2.1753, 0, 0, 0
1.2606, 0, 8, 2.08273, 0, 0, 0
1.2804, 0, 8, 1.99846, 0, 0, 0
1.3002, 0, 8, 1.92732, 0, 0, 0
1.3222, 0, 8, 1.86781, 0, 0, 0
1.342, 0, 8, 1.83196, 0, 0, 0
1.3618, 0, 8, 1.80839, 0, 0, 0
1.3816, 0, 8, 1.79163, 0, 0, 0
1.4014, 0, 8, 1.77568, 0, 0, 0
1.4212, 0, 8, 1.75563, 0, 0, 0
1.441, 0, 8, 1.72849, 0, 0, 0
1.4608, 0, 8, 1.69318, 0, 0, 0
1.4806, 0, 8, 1.64999, 0, 0, 0
1.5004, 0, 8, 1.59996, 0, 0, 0
1.5202, 0, 8, 1.54425, 0, 0, 0
1.5422, 0, 8, 1.4772, 0, 0, 0
1.562, 0, 8, 1.41166, 0, 0, 0
1.5818, 0, 8, 1.34209, 0, 0, 0
1.6016, 0, 8, 1.26819, 0, 0, 0
1.6214, 0, 8, 1.19035, 0, 0, 0
1.6412, 0, 8, 1.10993, 0, 0, 0
1.661, 0, 8, 1.02958, 0, 0, 0
1.6808, 0, 8, 0.953119, 0, 0, 0
1.7006, 0, 8, 0.884818, 0, 0, 0
1.7204, 0, 8, 0.828411, 0, 0, 0
1.7402, 0, 8, 0.785712, 0, 0, 0
1.7622, 0, 8, 0.754119, 0, 0, 0
1.782, 0, 8, 0.737727, 0, 0, 0
1.8018, 0, 8, 0.72796, 0, 0, 0
1.8216, 0, 8, 0.720672, 0, 0, 0
1.8414, 0, 8, 0.711985, 0, 0, 0
1.8612, 0, 8, 0.699064, 0, 0, 0
1.881, 0, 8, 0.68019, 0, 0, 0
1.9008, 0, 8, 0.654754, 0, 0, 0
1.9206, 0, 8, 0.62276, 0, 0, 0
1.9404, 0, 8, 0.584617, 0, 0, 0
1.9602, 0, 8, 0.540835, 0, 0, 0
1.9822, 0, 8, 0.486606, 0, 0, 0
2.002, 0, 8, 0.43248, 0, 0, 0
2.0218, 0, 8, 0.375038, 0, 0, 0
2.0416, 0, 8, 0.315302, 0, 0, 0
2.0614, 0, 8, 0.255232, 0, 0, 0
2.0812, 0, 8, 0.197135, 0, 0, 0
2.101, 0, 8, 0.144054, 0, 0, 0
2.1208, 0, 8, 0.0982878, 0, 0, 0
2.1406, 0, 8, 0.0620215, 0, 0, 0
2.1604, 0, 8, 0.0356384, 0, 0, 0
2.1802, 0, 8, 0.0152829, 0, 0, 0
0, 0.39032, 8, 5.74539, 0.274176, 0.274176, 0
0, 0.37064, 8, 5.75111, 0.520704, 0.520704, 0
0, 0.35137, 8, 5.77082, 0.735306, 0.735306, 0
0, 0.33169, 8, 5.80321, 0.927114, 0.927114, 0
0, 0.31201, 8, 5.84627, 1.09127, 1.09127, 0
0, 0.29274, 8, 5.89648, 1.22522, 1.22522, 0
0, 0.27306, 8, 5.95458, 1.33466, 1.33466, 0
0, 0.25379, 8, 6.01405, 1.41503, 1.41503, 0
0, 0.23411, 8, 6.06572, 1.46975, 1.46975, 0
0, 0.21443, 8, 6.09305, 1.49683, 1.49683, 0
0, 0.19516, 8, 6.08788, 1.49654, 1.49654, 0
0, 0.17548, 8, 6.04876, 1.4689, 1.4689, 0
0, 0.1558, 8, 5.98281, 1.4136, 1.4136, 0
0, 0.13653, 8, 5.90326, 1.33267, 1.33267, 0
0, 0.11685, 8, 5.82222, 1.22265, 1.22265, 0
0, 0.09758, 8, 5.75437, 1.08814, 1.08814, 0
0, 0.0779, 8, 5.70078, 0.9234, 0.9234, 0
0, 0.05822, 8, 5.66465, 0.731016, 0.731016, 0
0, 0.03895, 8, 5.64502, 0.51585, 0.51585, 0
0, 0.01927, 8, 5.63949, 0.268746, 0.268746, 0
2.2, 0.01968, 8, 0, 0.250925, 0.242913, -0.0628989
2.2, 0.03936, 8, 0, 0.469192, 0.463903, -0.0702524
2.2, 0.05863, 8, 0, 0.616652, 0.608479, -0.100066
2.2, 0.07831, 8, 0, 0.728129, 0.713296, -0.146219
2.2, 0.09799, 8, 0, 0.848425, 0.82598, -0.193863
2.2, 0.11726, 8, 0, 1.00282, 0.97722, -0.225155
2.2, 0.13694, 8, 0, 1.18122, 1.15672, -0.239323
2.2, 0.15621, 8, 0, 1.34638, 1.32471, -0.240602
2.2, 0.17589, 8, 0, 1.48973, 1.47119, -0.2343
2.2, 0.19557, 8, 0, 1.59342, 1.57792, -0.221743
2.2, 0.21484, 8, 0, 1.64475, 1.6314, -0.209145
2.2, 0.23452, 8, 0, 1.64617, 1.63434, -0.197056
2.2, 0.2542, 8, 0, 1.596, 1.58562, -0.181729
2.2, 0.27347, 8, 0, 1.49827, 1.48974, -0.159688
2.2, 0.29315, 8, 0, 1.3536, 1.34741, -0.129289
2.2, 0.31242, 8, 0, 1.18338, 1.17959, -0.0946483
2.2, 0.3321, 8, 0, 0.995217, 0.993473, -0.0588847
2.2, 0.35178, 8, 0, 0.79849, 0.798053, -0.0264015
2.2, 0.37105, 8, 0, 0.593151, 0.593144, 0.00277819
2.2, 0.39073, 8, 0, 0.34326, 0.341125, 0.0382241
2.178, 0.41, 8, 0.0586825, 0, 0, 0
2.1582, 0.41, 8, 0.108367, 0, 0, 0
2.1384, 0.41, 8, 0.152543, 0, 0, 0
