x, y, t, p, sqrt(u^2+v^2), u, v
0, 0, 9, 5.63109, 0, 0, 0
2.2, 0, 9, 0, 0, 0, 0
0, 0.41, 9, 5.70898, 0, 0, 0
2.2, 0.41, 9, 0, 0, 0, 0
0.2, 0.15, 9, 3.69203, 0, 0, 0
0.25, 0.2, 9, 4.40841, 0, 0, 0
0.2, 0.25, 9, 3.89662, 0, 0, 0
0.15, 0.2, 9, 7.23943, 0, 0, 0
0.022, 0, 9, 5.62905, 0, 0, 0
0.0418, 0, 9, 5.62446, 0, 0, 0
0.0616, 0, 9, 5.6097, 0, 0, 0
0.0814, 0, 9, 5.59057, 0, 0, 0
0.1012, 0, 9, 5.55437, 0, 0, 0
0.121, 0, 9, 5.51446, 0, 0, 0
0.1408, 0, 9, 5.45317, 0, 0, 0
0.1606, 0, 9, 5.37694, 0, 0, 0
0.1804, 0, 9, 5.30171, 0, 0, 0
0.2002, 0, 9, 5.19825, 0, 0, 0
0.2222, 0, 9, 5.10556, 0, 0, 0
0.242, 0, 9, 5.00271, 0, 0, 0
0.2618, 0, 9, 4.9297, 0, 0, 0
0.2816, 0, 9, 4.85546, 0, 0, 0
0.3014, 0, 9, 4.79966, 0, 0, 0
0.3212, 0, 9, 4.75681, 0, 0, 0
0.341, 0, 9, 4.72431, 0, 0, 0
0.3608, 0, 9, 4.70288, 0, 0, 0
0.3806, 0, 9, 4.68684, 0, 0, 0
0.4004, 0, 9, 4.67381, 0, 0, 0
0.4202, 0, 9, 4.65933, 0, 0, 0
0.4422, 0, 9, 4.63999, 0, 0, 0
0.462, 0, 9, 4.61411, 0, 0, 0
0.4818, 0, 9, 4.5752, 0, 0, 0
0.5016, 0, 9, 4.52532, 0, 0, 0
0.5214, 0, 9, 4.46508, 0, 0, 0
0.5412, 0, 9, 4.39084, 0, 0, 0
0.561, 0, 9, 4.30312, 0, 0, 0
0.5808, 0, 9, 4.20647, 0, 0, 0
0.6006, 0, 9, 4.10642, 0, 0, 0
0.6204, 0, 9, 4.00929, 0, 0, 0
0.6402, 0, 9, 3.92223, 0, 0, 0
0.6622, 0, 9, 3.84579, 0, 0, 0
0.682, 0, 9, 3.79711, 0, 0, 0
0.7018, 0, 9, 3.75798, 0, 0, 0
0.7216, 0, 9, 3.71846, 0, 0, 0
0.7414, 0, 9, 3.67368, 0, 0, 0
0.7612, 0, 9, 3.62604, 0, 0, 0
0.781, 0, 9, 3.58091, 0, 0, 0
0.8008, 0, 9, 3.54203, 0, 0, 0
0.8206, 0, 9, 3.5098, 0, 0, 0
0.8404, 0, 9, 3.48155, 0, 0, 0
0.8602, 0, 9, 3.45309, 0, 0, 0
0.8822, 0, 9, 3.41609, 0, 0, 0
0.902, 0, 9, 3.37475, 0, 0, 0
0.9218, 0, 9, 3.32496, 0, 0, 0
0.9416, 0, 9, 3.26686, 0, 0, 0
0.9614, 0, 9, 3.20179, 0, 0, 0
0.9812, 0, 9, 3.13127, 0, 0, 0
1.001, 0, 9, 3.05638, 0, 0, 0
1.0208, 0, 9, 2.97731, 0, 0, 0
1.0406, 0, 9, 2.89356, 0, 0, 0
1.0604, 0, 9, 2.8045, 0, 0, 0
1.0802, 0, 9, 2.71028, 0, 0, 0
1.1022, 0, 9, 2.60167, 0, 0, 0
1.122, 0, 9, 2.50338, 0, 0, 0
1.1418, 0, 9, 2.41051, 0, 0, 0
1.1616, 0, 9, 2.32938, 0, 0, 0
1.1814, 0, 9, 2.26524, 0, 0, 0
1.2012, 0, 9, 2.22017, 0, 0, 0
1.221, 0, 9, 2.19196, 0, 0, 0
1.2408, 0, 9, 2.17457, 0, 0, 0
1.2606, 0, 9, 2.1603, 0, 0, 0
1.2804, 0, 9, 2.14223, 0, 0, 0
1.3002, 0, 9, 2.1159, 0, 0, 0
1.3222, 0, 9, 2.07493, 0, 0, 0
1.342, 0, 9, 2.02762, 0, 0, 0
1.3618, 0, 9, 1.97278, 0, 0, 0
1.3816, 0, 9, 1.91194, 0, 0, 0
1.4014, 0, 9, 1.84661, 0, 0, 0
1.4212, 0, 9, 1.77762, 0, 0, 0
1.441, 0, 9, 1.70516, 0, 0, 0
1.4608, 0, 9, 1.62899, 0, 0, 0
1.4806, 0, 9, 1.54892, 0, 0, 0
1.5004, 0, 9, 1.46545, 0, 0, 0
1.5202, 0, 9, 1.38024, 0, 0, 0
1.5422, 0, 9, 1.28776, 0, 0, 0
1.562, 0, 9, 1.21071, 0, 0, 0
1.5818, 0, 9, 1.14405, 0, 0, 0
1.6016, 0, 9, 1.09106, 0, 0, 0
1.6214, 0, 9, 1.05263, 0, 0, 0
1.6412, 0, 9, 1.02713, 0, 0, 0
1.661, 0, 9, 1.01093, 0, 0, 0
1.6808, 0, 9, 0.99936, 0, 0, 0
1.7006, 0, 9, 0.987836, 0, 0, 0
1.7204, 0, 9, 0.972742, 0, 0, 0
1.7402, 0, 9, 0.951795, 0, 0, 0
1.7622, 0, 9, 0.920484, 0, 0, 0
1.782, 0, 9, 0.88455, 0, 0, 0
1.8018, 0, 9, 0.842276, 0, 0, 0
1.8216, 0, 9, 0.793896, 0, 0, 0
1.8414, 0, 9, 0.739854, 0, 0, 0
1.8612, 0, 9, 0.680488, 0, 0, 0
1.881, 0, 9, 0.616215, 0, 0, 0
1.9008, 0, 9, 0.547886, 0, 0, 0
1.9206, 0, 9, 0.477001, 0, 0, 0
1.9404, 0, 9, 0.405963, 0, 0, 0
1.9602, 0, 9, 0.337683, 0, 0, 0
1.9822, 0, 9, 0.269366, 0, 0, 0
2.002, 0, 9, 0.217691, 0, 0, 0
2.0218, 0, 9, 0.17681, 0, 0, 0
2.0416, 0, 9, 0.14706, 0, 0, 0
2.0614, 0, 9, 0.126894, 0, 0, 0
2.0812, 0, 9, 0.113382, 0, 0, 0
2.101, 0, 9, 0.103136, 0, 0, 0
2.1208, 0, 9, 0.0922552, 0, 0, 0
2.1406, 0, 9, 0.0778161, 0, 0, 0
2.1604, 0, 9, 0.0582342, 0, 0, 0
2.1802, 0, 9, 0.0303594, 0, 0, 0
0, 0.39032, 9, 5.71043, 0.274176, 0.274176, 0
0, 0.37064, 9, 5.7157, 0.520704, 0.520704, 0
0, 0.35137, 9, 5.7347, 0.735306, 0.735306, 0
0, 0.33169, 9, 5.76653, 0.927114, 0.927114, 0
0, 0.31201, 9, 5.80958, 1.09127, 1.09127, 0
0, 0.29274, 9, 5.86055, 1.22522, 1.22522, 0
0, 0.27306, 9, 5.92047, 1.33466, 1.33466, 0
0, 0.25379, 9, 5.98269, 1.41503, 1.41503, 0
0, 0.23411, 9, 6.03794, 1.46975, 1.46975, 0
0, 0.21443, 9, 6.06976, 1.49683, 1.49683, 0
0, 0.19516, 9, 6.06963, 1.49654, 1.49654, 0
0, 0.17548, 9, 6.0354, 1.4689, 1.4689, 0
0, 0.1558, 9, 5.97325, 1.4136, 1.4136, 0
0, 0.13653, 9, 5.89625, 1.33267, 1.33267, 0
0, 0.11685, 9, 5.81694, 1.22265, 1.22265, 0
0, 0.09758, 9, 5.74983, 1.08814, 1.08814, 0
0, 0.0779, 9, 5.69612, 0.9234, 0.9234, 0
0, 0.05822, 9, 5.65924, 0.731016, 0.731016, 0
0, 0.03895, 9, 5.63868, 0.51585, 0.51585, 0
0, 0.01927, 9, 5.63266, 0.268746, 0.268746, 0
2.2, 0.01968, 9, 0, 0.380587, 0.377161, -0.0509483
2.2, 0.03936, 9, 0, 0.634979, 0.634141, -0.0326132
2.2, 0.05863, 9, 0, 0.847683, 0.846899, -0.0364474
2.2, 0.07831, 9, 0, 1.03735, 1.03606, -0.0517794
2.2, 0.09799, 9, 0, 1.2003, 1.19746, -0.0824974
2.2, 0.11726, 9, 0, 1.33275, 1.32677, -0.126133
2.2, 0.13694, 9, 0, 1.44566, 1.43497, -0.175477
2.2, 0.15621, 9, 0, 1.53586, 1.52083, -0.214316
2.2, 0.17589, 9, 0, 1.59549, 1.57828, -0.233737
2.2, 0.19557, 9, 0, 1.60656, 1.58954, -0.233206
2.2, 0.21484, 9, 0, 1.56632, 1.5512, -0.217097
2.2, 0.23452, 9, 0, 1.47509, 1.46317, -0.187097
2.2, 0.2542, 9, 0, 1.34226, 1.33429, -0.146089
2.2, 0.27347, 9, 0, 1.18733, 1.18311, -0.100051
2.2, 0.29315, 9, 0, 1.01755, 1.01613, -0.0536002
2.2, 0.31242, 9, 0, 0.859103, 0.858984, -0.0143262
2.2, 0.3321, 9, 0, 0.721632, 0.721506, 0.0134917
2.2, 0.35178, 9, 0, 0.597119, 0.596382, 0.029656
2.2, 0.37105, 9, 0, 0.448518, 0.446499, 0.0425112
2.2, 0.39073, 9, 0, 0.242354, 0.237438, 0.0485696
2.178, 0.41, 9, 0.0459217, 0, 0, 0
2.1582, 0.41, 9, 0.08699, 0, 0, 0
2.1384, 0.41, 9, 0.135623, 0, 0, 0
2.1186, 0.41, 9, 0.188456, 0, 0, 0
2.0988, 0.41, 9, 0.241477, 0, 0, 0
2.079, 0.41, 9, 0.293561, 0, 0, 0
2.0592, 0.41, 9, 0.342878, 0, 0, 0
2.0394, 0.41, 9, 0.388378, 0, 0, 0
2.0196, 0.41, 9, 0.429183, 0, 0, 0
1.9998, 0.41, 9, 0.465001, 0, 0, 0
1.9778, 0.41, 9, 0.49743, 0, 0, 0
1.958, 0.41, 9, 0.520389, 0, 0, 0
1.9382, 0.41, 9, 0.537308, 0, 0, 0
1.9184, 0.41, 9, 0.549018, 0, 0, 0
1.8986, 0.41, 9, 0.557079, 0, 0, 0
1.8788, 0.41, 9, 0.564058, 0, 0, 0
1.859, 0.41, 9, 0.573294, 0, 0, 0
1.8392, 0.41, 9, 0.588522, 0, 0, 0
1.8194, 0.41, 9, 0.613176, 0, 0, 0
1.7996, 0.41, 9, 0.649705, 0, 0, 0
1.7798, 0.41, 9, 0.698631, 0, 0, 0
1.7578, 0.41, 9, 0.766699, 0, 0, 0
1.738, 0.41, 9, 0.837286, 0, 0, 0
1.7182, 0.41, 9, 0.912759, 0, 0, 0
1.6984, 0.41, 9, 0.989751, 0, 0, 0
1.6786, 0.41, 9, 1.06541, 0, 0, 0
1.6588, 0.41, 9, 1.13793, 0, 0, 0
1.639, 0.41, 9, 1.20633, 0, 0, 0
1.6192, 0.41, 9, 1.27012, 0, 0, 0
1.5994, 0.41, 9, 1.32883, 0, 0, 0
1.5796, 0.41, 9, 1.38176, 0, 0, 0
1.5598, 0.41, 9, 1.4283, 0, 0, 0
1.5378, 0.41, 9, 1.47047, 0, 0, 0
1.518, 0.41, 9, 1.4999, 0, 0, 0
1.4982, 0.41, 9, 1.52162, 0, 0, 0
1.4784, 0.41, 9, 1.53758, 0, 0, 0
1.4586, 0.41, 9, 1.55146, 0, 0, 0
1.4388, 0.41, 9, 1.56833, 0, 0, 0
1.419, 0.41, 9, 1.59373, 0, 0, 0
1.3992, 0.41, 9, 1.6323, 0, 0, 0
1.3794, 0.41, 9, 1.68644, 0, 0, 0
1.3596, 0.41, 9, 1.75567, 0, 0, 0
1.3398, 0.41, 9, 1.83666, 0, 0, 0
1.3178, 0.41, 9, 1.93493, 0, 0, 0
1.298, 0.41, 9, 2.02626, 0, 0, 0
1.2782, 0.41, 9, 2.11654, 0, 0, 0
1.2584, 0.41, 9, 2.20396, 0, 0, 0
1.2386, 0.41, 9, 2.28777, 0, 0, 0
1.2188, 0.41, 9, 2.36784, 0, 0, 0
1.199, 0.41, 9, 2.44407, 0, 0, 0
1.1792, 0.41, 9, 2.51596, 0, 0, 0
1.1594, 0.41, 9, 2.58234, 0, 0, 0
1.1396, 0.41, 9, 2.64132, 0, 0, 0
1.1198, 0.41, 9, 2.69106, 0, 0, 0
1.0978, 0.41, 9, 2.73284, 0, 0, 0
1.078, 0.41, 9, 2.75893, 0, 0, 0
1.0582, 0.41, 9, 2.77724, 0, 0, 0
1.0384, 0.41, 9, 2.79352, 0, 0, 0
1.0186, 0.41, 9, 2.81507, 0, 0, 0
0.9988, 0.41, 9, 2.84859, 0, 0, 0
0.979, 0.41, 9, 2.89776, 0, 0, 0
0.9592, 0.41, 9, 2.96232, 0, 0, 0
0.9394, 0.41, 9, 3.03863, 0, 0, 0
0.9196, 0.41, 9, 3.12146, 0, 0, 0
0.8998, 0.41, 9, 3.20585, 0, 0, 0
0.8778, 0.41, 9, 3.29731, 0, 0, 0
0.858, 0.41, 9, 3.37733, 0, 0, 0
0.8382, 0.41, 9, 3.45738, 0, 0, 0
0.8184, 0.41, 9, 3.5414, 0, 0, 0
0.7986, 0.41, 9, 3.63244, 0, 0, 0
0.7788, 0.41, 9, 3.72983, 0, 0, 0
0.759, 0.41, 9, 3.82884, 0, 0, 0
0.7392, 0.41, 9, 3.92301, 0, 0, 0
0.7194, 0.41, 9, 4.00697, 0, 0, 0
0.6996, 0.41, 9, 4.07779, 0, 0, 0
0.6798, 0.41, 9, 4.13501, 0, 0, 0
0.6578, 0.41, 9, 4.18203, 0, 0, 0
0.638, 0.41, 9, 4.2103, 0, 0, 0
0.6182, 0.41, 9, 4.22483, 0, 0, 0
0.5984, 0.41, 9, 4.22608, 0, 0, 0
0.5786, 0.41, 9, 4.21947, 0, 0, 0
0.5588, 0.41, 9, 4.21535, 0, 0, 0
0.539, 0.41, 9, 4.22263, 0, 0, 0
0.5192, 0.41, 9, 4.24287, 0, 0, 0
0.4994, 0.41, 9, 4.27268, 0, 0, 0
0.4796, 0.41, 9, 4.31, 0, 0, 0
0.4598, 0.41, 9, 4.35478, 0, 0, 0
0.4378, 0.41, 9, 4.41348, 0, 0, 0
0.418, 0.41, 9, 4.4719, 0, 0, 0
0.3982, 0.41, 9, 4.53387, 0, 0, 0
0.3784, 0.41, 9, 4.59807, 0, 0, 0
0.3586, 0.41, 9, 4.66512, 0, 0, 0
0.3388, 0.41, 9, 4.735, 0, 0, 0
0.319, 0.41, 9, 4.80974, 0, 0, 0
0.2992, 0.41, 9, 4.89037, 0, 0, 0
