x, y, t, p, sqrt(u^2+v^2), u, v
0, 0.31201, 10, 5.70824, 1.09127, 1.09127, 0
0, 0.29274, 10, 5.76845, 1.22522, 1.22522, 0
0, 0.27306, 10, 5.84032, 1.33466, 1.33466, 0
0, 0.25379, 10, 5.9163, 1.41503, 1.41503, 0
0, 0.23411, 10, 5.98749, 1.46975, 1.46975, 0
0, 0.21443, 10, 6.03715, 1.49683, 1.49683, 0
0, 0.19516, 10, 6.0555, 1.49654, 1.49654, 0
0, 0.17548, 10, 6.03998, 1.4689, 1.4689, 0
0, 0.1558, 10, 5.99504, 1.4136, 1.4136, 0
0, 0.13653, 10, 5.93259, 1.33267, 1.33267, 0
0, 0.11685, 10, 5.86578, 1.22265, 1.22265, 0
0, 0.09758, 10, 5.8086, 1.08814, 1.08814, 0
0, 0.0779, 10, 5.76254, 0.9234, 0.9234, 0
0, 0.05822, 10, 5.73085, 0.731016, 0.731016, 0
0, 0.03895, 10, 5.71316, 0.51585, 0.51585, 0
0, 0.01927, 10, 5.70793, 0.268746, 0.268746, 0
2.2, 0.01968, 10, 0, 0.303951, 0.301638, -0.0374276
2.2, 0.03936, 10, 0, 0.508242, 0.508222, -0.00446382
2.2, 0.05863, 10, 0, 0.677126, 0.676495, 0.029203
2.2, 0.07831, 10, 0, 0.830611, 0.827461, 0.0722652
2.2, 0.09799, 10, 0, 0.985846, 0.977852, 0.125294
2.2, 0.11726, 10, 0, 1.14434, 1.12946, 0.183983
2.2, 0.13694, 10, 0, 1.30259, 1.27949, 0.244252
2.2, 0.15621, 10, 0, 1.43775, 1.4068, 0.296693
2.2, 0.17589, 10, 0, 1.54228, 1.50441, 0.339651
2.2, 0.19557, 10, 0, 1.60253, 1.55956, 0.368605
2.2, 0.21484, 10, 0, 1.61148, 1.56539, 0.382661
2.2, 0.23452, 10, 0, 1.57247, 1.52508, 0.383136
2.2, 0.2542, 10, 0, 1.49188, 1.44604, 0.366978
2.2, 0.27347, 10, 0, 1.37717, 1.33525, 0.337207
2.2, 0.29315, 10, 0, 1.23213, 1.19712, 0.291613
2.2, 0.31242, 10, 0, 1.09028, 1.06556, 0.230834
2.2, 0.3321, 10, 0, 0.955001, 0.94126, 0.161416
2.2, 0.35178, 10, 0, 0.799376, 0.792515, 0.104511
2.2, 0.37105, 10, 0, 0.602158, 0.598349, 0.0676255
2.2, 0.39073, 10, 0, 0.333723, 0.328617, 0.0581554
2.178, 0.41, 10, 0.0111199, 0, 0, 0
2.1582, 0.41, 10, 0.0187722, 0, 0, 0
2.1384, 0.41, 10, 0.0270403, 0, 0, 0
2.1186, 0.41, 10, 0.0415821, 0, 0, 0
2.0988, 0.41, 10, 0.0637407, 0, 0, 0
2.079, 0.41, 10, 0.0954558, 0, 0, 0
2.0592, 0.41, 10, 0.137379, 0, 0, 0
2.0394, 0.41, 10, 0.188359, 0, 0, 0
2.0196, 0.41, 10, 0.246412, 0, 0, 0
1.9998, 0.41, 10, 0.309073, 0, 0, 0
1.9778, 0.41, 10, 0.380309, 0, 0, 0
1.958, 0.41, 10, 0.443918, 0, 0, 0
1.9382, 0.41, 10, 0.504757, 0, 0, 0
1.9184, 0.41, 10, 0.561542, 0, 0, 0
1.8986, 0.41, 10, 0.613382, 0, 0, 0
1.8788, 0.41, 10, 0.659651, 0, 0, 0
1.859, 0.41, 10, 0.699783, 0, 0, 0
1.8392, 0.41, 10, 0.733287, 0, 0, 0
1.8194, 0.41, 10, 0.759904, 0, 0, 0
1.7996, 0.41, 10, 0.779867, 0, 0, 0
