x,y,u,v,sqrt
0.3, 0.04, -0.021347, 0.00454353, 0.0218252
0.32, 0.04, -0.0253481, 0.00476719, 0.0257925
0.34, 0.04, -0.0294369, 0.00487198, 0.0298374
0.36, 0.04, -0.0334853, 0.00482885, 0.0338317
0.38, 0.04, -0.0373464, 0.00461295, 0.0376302
0.4, 0.04, -0.040861, 0.00420648, 0.041077
0.42, 0.04, -0.0438661, 0.0036015, 0.0440137
0.44, 0.04, -0.046204, 0.00280219, 0.0462889
0.46, 0.04, -0.0477329, 0.00182639, 0.0477678
0.48, 0.04, -0.0483366, 0.000706133, 0.0483418
0.5, 0.04, -0.0479341, -0.000512976, 0.0479369
0.52, 0.04, -0.0464864, -0.00177362, 0.0465202
0.54, 0.04, -0.0440023, -0.00300989, 0.0441051
0.56, 0.04, -0.0405404, -0.00415158, 0.0407525
0.58, 0.04, -0.0362095, -0.00512943, 0.036571
0.6, 0.04, -0.0311642, -0.00588096, 0.0317142
0.62, 0.04, -0.0255984, -0.00635633, 0.0263758
0.64, 0.04, -0.0197355, -0.00652362, 0.0207858
0.66, 0.04, -0.0138158, -0.00637273, 0.0152147
0.68, 0.04, -0.00808157, -0.00591722, 0.0100163
0.7, 0.04, -0.00276217, -0.00519367, 0.0058825
0.72, 0.04, 0.0019417, -0.00425833, 0.00468013
0.74, 0.04, 0.00587097, -0.00318135, 0.00667752
0.76, 0.04, 0.00891822, -0.00203934, 0.00914841
0.78, 0.04, 0.0110328, -0.000907243, 0.0110701
0.8, 0.04, 0.0122208, 0.000149129, 0.0122217
0.82, 0.04, 0.0125396, 0.00107879, 0.0125859
0.84, 0.04, 0.0120881, 0.00184823, 0.0122286
0.86, 0.04, 0.0109957, 0.00244017, 0.0112633
0.88, 0.04, 0.00941141, 0.00284779, 0.00983283
0.9, 0.04, 0.00749719, 0.00306435, 0.00809927
0.92, 0.04, 0.00542882, 0.0030697, 0.0062366
0.94, 0.04, 0.00340327, 0.00281821, 0.00441866
0.96, 0.04, 0.00165045, 0.00223921, 0.00278173
0.98, 0.04, 0.0004387, 0.00127465, 0.00134804
1, 0.04, 0, 0, 0
0, 0.06, 0, 0, 0
0.02, 0.06, 0.000375301, -0.00054651, 0.000662966
0.04, 0.06, 0.000715632, -0.000462336, 0.000851988
